,latitude,longitude,raion
0,37.607745,55.894879,Bibirevo
1,37.700658,55.685274,Nagatinskij Zaton
2,46.479722,60.964774,Tekstil'shhiki
3,37.365828,55.84537,Mitino
4,37.749894,55.104476,Basmannoe
5,39.922092,44.270958,Nizhegorodskoe
6,23.986428,49.777142,Sokol'niki
7,37.529043,55.832515,Koptevo
8,37.398482,55.74261,Kuncevo
9,,,Kosino-Uhtomskoe
10,37.519162,55.872339,Zapadnoe Degunino
11,,,Presnenskoe
12,37.704817,55.753635,Lefortovo
13,41.269098,44.89741,Mar'ino
14,37.773547,55.69864,Kuz'minki
15,37.629628,55.903302,Nagornoe
16,37.79613,55.824162,Gol'janovo
17,37.2924,55.608475,Vnukovo
18,37.429699,55.842868,Juzhnoe Tushino
19,37.42827,55.861641,Severnoe Tushino
20,37.604098,55.61388,Chertanovo Central'noe
21,37.469359,55.727136,Fili Davydkovo
22,30.798766,59.772605,Otradnoe
23,37.357169,55.646081,Novo-Peredelkino
24,50.750484,57.82782,Bogorodskoe
25,37.703694,55.866394,Jaroslavskoe
26,37.402695,55.803783,Strogino
27,37.489491,55.869041,Hovrino
28,37.671139,55.642692,Moskvorech'e-Saburovo
29,37.199056,55.980895,Staroe Krjukovo
30,20.288397,54.737642,Ljublino
31,37.668848,55.621541,Caricyno
32,37.815184,55.730771,Veshnjaki
33,35.753209,56.797984,Danilovskoe
34,37.898116,55.676494,Preobrazhenskoe
35,37.530588,55.643414,Kon'kovo
36,37.765058,55.633434,Brateevo
37,37.821804,55.795818,Vostochnoe Izmajlovo
38,37.824553,55.696357,Vyhino-Zhulebino
39,41.975569,45.454757,Donskoe
40,37.817169,55.75166,Novogireevo
41,37.531523,55.542396,Juzhnoe Butovo
42,40.099977,59.460968,Sokol
43,38.662322,53.429439,Kurkino
44,47.244835,53.721077,Izmajlovo
45,37.655023,55.88823,Severnoe Medvedkovo
46,37.661266,55.834421,Rostokino
47,37.704817,55.618278,Orehovo-Borisovo Severnoe
48,37.448554,55.689649,Ochakovo-Matveevskoe
49,84.056035,55.970962,Taganskoe
50,37.547719,55.87593,Dmitrovskoe
51,37.733132,55.604264,Orehovo-Borisovo Juzhnoe
52,37.505912,55.61873,Teplyj Stan
53,37.706425,55.862353,Babushkinskoe
54,37.476393,55.822094,Pokrovskoe Streshnevo
55,,,Obruchevskoe
56,37.48375,55.748255,Filevskij Park
57,37.468488,55.660318,Troparevo-Nikulino
58,37.570519,55.568914,Severnoe Butovo
59,37.574813,55.729077,Hamovniki
60,36.755046,51.416339,Solncevo
61,37.553163,55.740436,Dorogomilovo
62,84.884937,56.478407,Timirjazevskoe
63,37.568479,55.900668,Lianozovo
64,37.723807,55.685158,Pechatniki
65,37.546399,55.099011,Krjukovo
66,37.5334,55.606182,Jasenevo
67,37.594917,55.636412,Chertanovo Severnoe
68,39.894604,54.631405,Rjazanskij
69,37.168244,55.999007,Silino
70,41.460978,56.093269,Ivanovskoe
71,37.492976,55.83938,Golovinskoe
72,37.861725,55.740167,Novokosino
73,37.64171,55.671422,Nagatino-Sadovniki
74,37.678649,55.594585,Birjulevo Vostochnoe
75,37.805221,55.806843,Severnoe Izmajlovo
76,37.745385,55.769914,Sokolinaja Gora
77,37.558841,55.884277,Vostochnoe Degunino
78,37.514904,55.681422,Prospekt Vernadskogo
79,37.238016,55.989915,Savelki
80,24.06301,56.99569,Ajeroport
81,,,Vojkovskoe
82,,,Beskudnikovskoe
83,37.408139,55.756842,Krylatskoe
84,,,Juzhnoportovoe
85,37.767456,55.751994,Perovo
86,30.385721,60.01691,Akademicheskoe
87,37.492078,55.777707,Horoshevo-Mnevniki
88,142.725401,49.774431,Shhukino
89,37.799724,55.63784,Kapotnja
90,37.526636,55.777469,Horoshevskoe
91,37.55672,56.074117,Marfino
92,37.600361,55.591889,Chertanovo Juzhnoe
93,,,Savelovskoe
94,37.63765,55.586944,Birjulevo Zapadnoe
95,142.627763,53.683455,Nekrasovka
96,25.738673,53.119475,Cheremushki
97,37.647711,55.851839,Sviblovo
98,50.114063,55.305333,Alekseevskoe
99,29.350934,60.547257,Krasnosel'skoe
100,37.581891,55.665644,Kotlovka
