,raion,lat,long
0,Bibirevo,55.894879,37.607745
1,Nagatinskij Zaton,55.685274,37.700658000000004
3,Mitino,55.845369999999996,37.365828
4,Basmannoe,55.104476,37.749894
7,Koptevo,55.832515,37.529043
8,Kuncevo,55.74261,37.398482
10,Zapadnoe Degunino,55.872339000000004,37.519162
12,Lefortovo,55.753634999999996,37.704817
14,Kuz'minki,55.698640000000005,37.773547
15,Nagornoe,55.903302000000004,37.629628000000004
16,Gol'janovo,55.824162,37.79613
17,Vnukovo,55.608475,37.2924
18,Juzhnoe Tushino,55.842868,37.429699
19,Severnoe Tushino,55.861641000000006,37.42827
20,Chertanovo Central'noe,55.61388,37.604098
21,Fili Davydkovo,55.727136,37.469359000000004
23,Novo-Peredelkino,55.646081,37.357169
25,Jaroslavskoe,55.86639399999999,37.703694
26,Strogino,55.803782999999996,37.402695
27,Hovrino,55.869041,37.489490999999994
28,Moskvorech'e-Saburovo,55.642692000000004,37.671139000000004
29,Staroe Krjukovo,55.980895,37.199056
31,Caricyno,55.621541,37.668848
32,Veshnjaki,55.730771,37.815184
34,Preobrazhenskoe,55.67649399999999,37.898115999999995
35,Kon'kovo,55.643414,37.530588
36,Brateevo,55.633433999999994,37.765058
37,Vostochnoe Izmajlovo,55.795818000000004,37.821804
38,Vyhino-Zhulebino,55.69635699999999,37.824553
40,Novogireevo,55.75166,37.817169
41,Juzhnoe Butovo,55.542396,37.531523
45,Severnoe Medvedkovo,55.88823000000001,37.655023
46,Rostokino,55.834421,37.661266
47,Orehovo-Borisovo Severnoe,55.618278000000004,37.704817
48,Ochakovo-Matveevskoe,55.689648999999996,37.448554
49,Taganskoe,55.970962,84.056035
50,Dmitrovskoe,55.875930000000004,37.547719
51,Orehovo-Borisovo Juzhnoe,55.604264,37.733132
52,Teplyj Stan,55.618730000000006,37.505912
53,Babushkinskoe,55.862353000000006,37.706425
54,Pokrovskoe Streshnevo,55.82209399999999,37.476393
56,Filevskij Park,55.74825500000001,37.48375
57,Troparevo-Nikulino,55.660318000000004,37.468488
58,Severnoe Butovo,55.568914,37.570519
59,Hamovniki,55.729077000000004,37.574813
61,Dorogomilovo,55.740435999999995,37.553163
62,Timirjazevskoe,56.478407,84.884937
63,Lianozovo,55.900668,37.568478999999996
64,Pechatniki,55.685157999999994,37.723807
65,Krjukovo,55.099011,37.546399
66,Jasenevo,55.606182,37.5334
67,Chertanovo Severnoe,55.636412,37.594916999999995
69,Silino,55.99900699999999,37.168244
70,Ivanovskoe,56.09326899999999,41.460978000000004
71,Golovinskoe,55.839380000000006,37.492976
72,Novokosino,55.74016700000001,37.861725
73,Nagatino-Sadovniki,55.671422,37.641709999999996
74,Birjulevo Vostochnoe,55.594584999999995,37.678649
75,Severnoe Izmajlovo,55.80684300000001,37.805221
76,Sokolinaja Gora,55.769914,37.745385
77,Vostochnoe Degunino,55.884277000000004,37.558840999999994
78,Prospekt Vernadskogo,55.681422,37.514904
79,Savelki,55.989915,37.238015999999995
83,Krylatskoe,55.756842000000006,37.408139
85,Perovo,55.751993999999996,37.767456
87,Horoshevo-Mnevniki,55.77770699999999,37.492078
89,Kapotnja,55.637840000000004,37.799724
90,Horoshevskoe,55.777468999999996,37.526635999999996
91,Marfino,56.074117,37.55672
92,Chertanovo Juzhnoe,55.591889,37.600361
94,Birjulevo Zapadnoe,55.586943999999995,37.63765
97,Sviblovo,55.851839,37.647711
98,Alekseevskoe,55.305333,50.114063
100,Kotlovka,55.66564399999999,37.581891
101,Zjuzino,55.678753,38.120862
102,Ostankinskoe,54.859129,38.896423
107,Metrogorodok,55.823338,37.756739
108,Juzhnoe Medvedkovo,55.870329000000005,37.636491
110,Jakimanka,55.730826,37.607565
111,Mozhajskoe,55.565529000000005,36.507973
112,Levoberezhnoe,56.236266,95.58866
113,Mar'ina Roshha,55.793718000000005,37.616162
115,Zamoskvorech'e,55.733608999999994,37.633715
116,Altuf'evskoe,55.878238,37.586482000000004
117,Ramenki,55.707152,37.51379
118,Zjablikovo,55.612329,37.745205
124,Poselenie Moskovskij,55.60840400000001,37.368901
125,Poselenie Pervomajskoe,55.519723,37.218334000000006
126,Poselenie Desjonovskoe,55.499570999999996,37.366609999999994
127,Poselenie Voskresenskoe,55.517495,37.442572
128,Poselenie Mosrentgen,55.621074,37.473797
129,Troickij okrug,55.355771,37.14699
130,Poselenie Shherbinka,55.507525,37.567653
131,Poselenie Filimonkovskoe,55.570014,37.322368
132,Poselenie Vnukovskoe,55.6335,37.290298
133,Poselenie Marushkinskoe,55.59516,37.208273
134,Poselenie Shhapovskoe,55.391631000000004,37.380848
135,Poselenie Rjazanovskoe,55.482372999999995,37.495707
136,Poselenie Kokoshkino,55.600165000000004,37.169843
138,Poselenie Krasnopahorskoe,55.421496,37.270661
139,Poselenie Novofedorovskoe,55.42564,36.931878999999995
140,Poselenie Voronovskoe,55.323848,37.123121999999995
141,Poselenie Klenovskoe,55.314207999999994,37.326743
142,Poselenie Rogovskoe,55.220038,37.054733
143,Poselenie Kievskij,55.394878000000006,36.88346
144,Molzhaninovskoe,55.9366,37.385366999999995
145,Poselenie Mihajlovo-Jarcevskoe,55.397552000000005,37.139687
0,Kosino-Uhtomskoye,55.717061,37.863450
1,Obruchevskoye,55.660917,37.518479
2,Vojkovskoye,55.827247,37.497342
3,Beskudnikovskoye,55.873834,37.547836
4,Juzhnoportovoye,55.703916,37.702706
5,Savelovskoye,55.802750,37.587191
6,Losinoostrovskoye,55.826706,37.720950
0,Tekstil'shhiki,55.708917,37.734371
1,Nizhegorodskoye,55.729628,37.723192
2,Sokol'niki,55.789198,37.679700
3,Mar'ino,55.549093,37.322844
4,Nagornoye,56.070112,38.022317
5,Otradnoye,55.863207,37.604762
6,Bogorodskoye,55.804182,37.684164
7,Ljublino,55.675682,37.761770
8,Danilovskoye,55.709217,37.640596
9,Donskoye,55.697529,37.617411
10,Sokol,55.804805,37.515461
11,Kurkino,55.891239,37.389661
12,Izmajlovo,55.788409,37.743031
13,Taganskoye,55.739747,37.664231
14,Timirjazevskoye,55.820920,37.560260
15,Rjazanskij,55.719409,37.780904
16,Ajeroport,55.803089,37.542484
17,Akademicheskoye,55.687761,37.573447
18,Shhukino,55.800590,37.473519
19,Nekrasovka,55.683630,37.925398
20,Cheremushki,55.664649,37.561347
21,Alekseevskoye,55.807800,37.638737
22,Krasnosel'skoye,55.784155,37.664264
23,Ostankinskoye,55.816465,37.612955
24,Tverskoye,55.949274,36.435057
25,Butyrskoye,55.813668,37.588772
26,Matushkino,56.005103,37.200116
27,Lomonosovskoye,55.697290,37.529268
28,Mozhajskoye,55.718349,37.415083
29,Levoberezhnoye,55.873865,37.471659
30,Gagarinskoye,55.744703,37.594522
31,Meshhanskoye,55.776026,37.627616
32,Severnoye,55.933267,37.551762
33,Begovoye,55.780304,37.558679
34,Arbat,55.749496,37.591530
35,Poselenie Sosenskoye,55.578330,37.465892
36,Vostochnoye,55.787710,37.775631
,Presnenskoe,"55.764006,",37.562874
,Solncevo,55.645918,37.401680
